close,close_time,datetime,high,low,open,quote_volume,symbol,taker_buy_quote_volume,taker_buy_volume,timestamp,trades,volume
212.83,1588381199999,2020-05-02T05:30:00,213.39,211.02,212.01,5043327.365787,ETHUSDT,2607511.7828632,12287.22021,1588377600000,9188,23762.37618
212.21,1588384799999,2020-05-02T06:30:00,213.11,211.75,212.84,3528948.4888115,ETHUSDT,1742050.9474518,8200.72906,1588381200000,6413,16612.316
212.14,1588388399999,2020-05-02T07:30:00,212.71,211.26,212.22,4012996.1395569,ETHUSDT,2359669.9936294,11130.29278,1588384800000,7071,18933.30173
212.95,1588391999999,2020-05-02T08:30:00,213.38,211.75,212.13,2258131.8297103,ETHUSDT,1098028.7788106,5161.93024,1588388400000,5155,10615.30049
212.82,1588395599999,2020-05-02T09:30:00,213.71,212.21,212.94,3112169.5656072,ETHUSDT,1594318.5844926,7483.49447,1588392000000,5864,14611.22962
212.58,1588399199999,2020-05-02T10:30:00,212.94,211.9,212.85,2012719.9344032,ETHUSDT,1008304.6529705,4747.39137,1588395600000,4735,9477.35216
212.51,1588402799999,2020-05-02T11:30:00,213.14,212.29,212.59,2357193.4795168,ETHUSDT,1150586.9425516,5408.44871,1588399200000,4808,11080.49877
211.12,1588406399999,2020-05-02T12:30:00,212.61,210.58,212.54,4302043.220854,ETHUSDT,1593444.2194783,7529.04356,1588402800000,7487,20328.5484
210.7,1588409999999,2020-05-02T13:30:00,212.0,210.36,211.09,4310966.3285775,ETHUSDT,1957726.4656009,9272.15528,1588406400000,9532,20421.05981
211.98,1588413599999,2020-05-02T14:30:00,212.09,210.67,210.7,3171197.1048795,ETHUSDT,1780737.1769603,8414.19793,1588410000000,7302,14984.72947
212.25,1588417199999,2020-05-02T15:30:00,212.6,211.53,211.98,3298022.2929923,ETHUSDT,1861351.772681,8772.1055,1588413600000,7161,15543.13968
212.13,1588420799999,2020-05-02T16:30:00,213.13,212.13,212.21,4049715.292759,ETHUSDT,2379401.110573,11186.1575,1588417200000,8486,19038.33571
212.41,1588424399999,2020-05-02T17:30:00,213.62,211.92,212.12,5182748.7180022,ETHUSDT,2928905.3966843,13745.31527,1588420800000,9327,24327.0664
213.19,1588427999999,2020-05-02T18:30:00,213.27,212.25,212.41,3170579.7554578,ETHUSDT,1727405.3971335,8118.92825,1588424400000,6914,14902.62202
213.2,1588431599999,2020-05-02T19:30:00,214.07,212.72,213.18,4623864.8273552,ETHUSDT,2642628.9438485,12376.76891,1588428000000,9745,21660.32033
212.96,1588435199999,2020-05-02T20:30:00,214.0,211.79,213.18,5452171.3162228,ETHUSDT,2365577.3601773,11112.79092,1588431600000,11511,25615.73414
214.18,1588438799999,2020-05-02T21:30:00,215.37,212.59,213.02,8571432.2027021,ETHUSDT,4393888.184033,20508.61622,1588435200000,14604,40001.34836
214.44,1588442399999,2020-05-02T22:30:00,215.0,213.59,214.18,4627159.9440215,ETHUSDT,2501448.2997009,11680.02757,1588438800000,8290,21607.95309
212.66,1588445999999,2020-05-02T23:30:00,214.57,211.6,214.44,7360578.3387414,ETHUSDT,3295246.1199027,15504.06564,1588442400000,12601,34631.33772
213.54,1588449599999,2020-05-03T00:30:00,213.66,211.8,212.66,3480462.4195379,ETHUSDT,1604176.3453781,7546.94284,1588446000000,6615,16372.87927
214.0,1588453199999,2020-05-03T01:30:00,214.0,212.79,213.54,2772724.2940182,ETHUSDT,1317738.2955259,6172.24417,1588449600000,6658,12988.32269
213.66,1588456799999,2020-05-03T02:30:00,214.1,213.02,214.0,2014384.7340087,ETHUSDT,1039616.6785964,4865.6717,1588453200000,5297,9429.78069
213.97,1588460399999,2020-05-03T03:30:00,214.08,213.08,213.67,2153510.2344478,ETHUSDT,1147037.1642318,5371.04144,1588456800000,4833,10083.12542
213.9,1588463999999,2020-05-03T04:30:00,214.4,213.48,213.98,3522453.6898456,ETHUSDT,1831211.6180798,8560.00243,1588460400000,6205,16465.99433
217.29,1588467599999,2020-05-03T05:30:00,217.72,213.43,213.89,11941981.5712515,ETHUSDT,6328007.4635865,29267.66632,1588464000000,20707,55225.52998
217.07,1588471199999,2020-05-03T06:30:00,219.3,216.11,217.27,11462334.3337842,ETHUSDT,5451379.7177522,25028.16202,1588467600000,18391,52632.33183
216.56,1588474799999,2020-05-03T07:30:00,218.15,216.55,217.09,5773466.7358932,ETHUSDT,3147029.5353904,14464.34812,1588471200000,9038,26544.18359
217.89,1588478399999,2020-05-03T08:30:00,218.44,216.55,216.56,3856923.0635642,ETHUSDT,1966503.2617054,9039.16716,1588474800000,7499,17726.22448
217.2,1588481999999,2020-05-03T09:30:00,218.39,217.0,217.89,3386029.7043637,ETHUSDT,1570819.0522957,7221.87475,1588478400000,6444,15564.6088
216.64,1588485599999,2020-05-03T10:30:00,217.39,216.2,217.2,3830804.1290362,ETHUSDT,1894017.2989302,8737.55461,1588482000000,6267,17669.91729
213.83,1588489199999,2020-05-03T11:30:00,216.78,211.7,216.62,15136408.5707042,ETHUSDT,5724123.0205,26777.01665,1588485600000,21376,70796.61145
213.7,1588492799999,2020-05-03T12:30:00,214.6,213.16,213.81,4061755.9764573,ETHUSDT,2059998.630669,9629.86179,1588489200000,7714,18986.94256
214.49,1588496399999,2020-05-03T13:30:00,214.83,213.08,213.66,3658969.7995323,ETHUSDT,1717499.3637616,8023.22866,1588492800000,7119,17094.60083
215.38,1588499999999,2020-05-03T14:30:00,215.49,214.33,214.5,3904575.8552275,ETHUSDT,2159845.0385087,10050.46102,1588496400000,7429,18168.54977
213.87,1588503599999,2020-05-03T15:30:00,215.9,213.25,215.36,4545740.2664368,ETHUSDT,2147323.7658987,10007.70535,1588500000000,9641,21182.99222
214.04,1588507199999,2020-05-03T16:30:00,215.15,213.7,213.84,2786460.7182354,ETHUSDT,1378780.1855457,6427.75709,1588503600000,7175,12991.57796
212.76,1588510799999,2020-05-03T17:30:00,214.18,211.0,214.04,8691293.9085989,ETHUSDT,3589722.6155408,16892.50652,1588507200000,16354,40900.81272
212.48,1588514399999,2020-05-03T18:30:00,213.38,211.06,212.77,8674979.9867753,ETHUSDT,4232950.4351219,19980.73781,1588510800000,15407,40952.9076
207.75,1588517999999,2020-05-03T19:30:00,212.49,206.4,212.49,16055313.5334377,ETHUSDT,6431629.483779,30702.38815,1588514400000,21512,76674.21334
208.11,1588521599999,2020-05-03T20:30:00,209.18,203.92,207.77,18882151.7082619,ETHUSDT,9126413.7154756,44013.07299,1588518000000,23941,91094.84022
208.77,1588525199999,2020-05-03T21:30:00,209.69,206.89,208.09,6329008.9951332,ETHUSDT,2983888.920192,14289.85131,1588521600000,10331,30314.25738
208.08,1588528799999,2020-05-03T22:30:00,209.73,206.96,208.77,4124846.6686428,ETHUSDT,2120311.8178988,10167.2097,1588525200000,7700,19780.49307
208.05,1588532399999,2020-05-03T23:30:00,209.12,207.65,208.09,3659457.2818198,ETHUSDT,2002848.4476757,9612.08053,1588528800000,6036,17562.11972
208.81,1588535999999,2020-05-04T00:30:00,209.12,207.82,208.03,3347863.7319146,ETHUSDT,1603762.2400783,7688.25849,1588532400000,6101,16049.59974
207.91,1588539599999,2020-05-04T01:30:00,209.1,206.81,208.8,3376468.0811542,ETHUSDT,1794105.8901604,8640.59419,1588536000000,6627,16256.24752
